student_id,name,dept,gender,is_active,cgpa,attendance,phone,fee,semester
S-061,Sophia1,bba,m,false,1.89,35%,,N/A,
S-062,Mina1,Civil,m,Y,2.27,N/A,01729226889,25000,
S-063,Hasan2,eee,male,FALSE,3.3,20,880 1755449 564637,2.5 lakh,spring2024
S-064,Ali4,bba,Female,enrolled,1.78,0.88,01616819-314353,,fall 2023
S-065,Fatima3,cse,M,FALSE,2.45,94%,,2.5 lakh,spring2024
S-066,Karim4,bba,F,TRUE,,0.55,01768614462,2.5 lakh,fall 2023
S-067,Hassan2,EEE,Male,N,2.77,0.65,01689567-368402,,
S-068,Sabbir2,civil,female,FALSE,2.62,0.90,+880 171 2145653,,fall 2023
S-069,Kabir1,EEE,F,true,3.45/4.00,76%,,-,Fall2023
S-070,Hassan5,Pharmacy,Male,Y,3.59,N/A,,N/A,spring2024
S-071,Sadia3,EEE,m,TRUE,2.99,86,,-,Fall2023
S-072,Rima3,civil,male,yes,2.27,0.97,01780651318,25k,fall 2023
S-073,Sadia2,EEE,female,no,1.69,0.52,01789350-903531,"25,000",
S-074,Leena2,Pharmacy,M,TRUE,3.92,0.80,+880 171 8391997,,Spring 2024
S-075,Hasan5,eee,Male,suspended,3.68,,01774503785,25k,Fall 2023
S-076,Sadia3,Pharmacy,Male,suspended,2.06,-,01717148018,25k,Fall2023
S-077,Rahim3,cse,f,enrolled,3.45/4.00,0.89,01654326-119927,N/A,
S-078,Leena5,eee,F,enrolled,1.62,63,01893835-117233,25k,Spring 2024
S-079,Rahim5,EEE,Female,0,1.71,N/A,880 1903324 121322,,Spring 2024
S-080,Karima4,EEE,m,inactive,,0.97,01682734-146489,,
S-081,Ali4,civil,Male,enrolled,3.86,,+880 171 4346548,N/A,Spring 2024
S-082,Mina4,bba,M,enrolled,3.66,,880 1805737 558176,-,Spring 2024
S-083,Karim3,C.S.E,female,inactive,2.8,0.84,+880 171 2343333,25k,Spring 2024
S-084,Leena4,C.S.E,female,false,3.78,85%,01825760-480959,,spring2024
S-085,Ali1,C.S.E,F,no,2.46,0.98,+880 171 7156398,"25,000",Fall 2023
S-086,Rahim2,Pharmacy,male,1,3.26,0.58,+880 171 8467726,-,fall 2023
S-087,Sabbir5,pharmacy,m,true,3.82,25,,N/A,fall 2023
S-088,Ali5,C.S.E,F,N,3.3,40,01651672-571832,,spring2024
S-089,Kabir2,C.S.E,male,1,1.81,0.83,01654134-362778,-,fall 2023
S-090,Leena5,cse,Male,0,3.15,0.51,,2.5 lakh,spring2024
S-091,Rahim4,civil,m,active,3.51,56,01866676-587002,25k,
S-092,Hassan3,eee,Male,enrolled,2.3,37,+880 171 3679315,"25,000",Fall2023
S-093,Zara5,Pharmacy,female,true,2.48,36,01859512-399628,25k,
S-094,Rima4,EEE,M,TRUE,,0.85,+880 171 2622046,N/A,fall 2023
S-095,Tanvir2,Civil,male,1,,,,"25,000",fall 2023
S-096,Leena3,C.S.E,male,0,2.34,0.73,880 1626759 725905,25k,
S-097,Kabir5,BBA,M,0,3.3,0.94,01712814-119857,2.5 lakh,
S-098,Imran4,pharmacy,female,suspended,3.26,0.61,880 1751390 739711,"25,000",Fall2023
S-099,Jamal5,bba,Female,true,3.23,0.68,01897577-498138,25k,Fall 2023
S-100,Fatima1,EEE,female,active,2.01,78,01738241-354235,25000,Fall 2023
